epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,48793.1,1.21127,0.70596,0.01895,0.90499,0.82531,0.91356,0.72323,0.7702,0.469,0.02316,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
74,49463.2,1.21097,0.70213,0.01905,0.91187,0.82426,0.91387,0.7237,0.77789,0.46029,0.02344,0.0194917,0.00649724,0.0194917,0.00649724,0.0194917,0.00649724,0.0194917,0.00649724
75,50130.6,1.19918,0.69104,0.01878,0.87403,0.8544,0.90894,0.72119,0.77788,0.48409,0.02335,0.0192432,0.0064144,0.0192432,0.0064144,0.0192432,0.0064144,0.0192432,0.0064144
76,50798.9,1.19596,0.69172,0.01849,0.86677,0.8552,0.91037,0.72541,0.77057,0.467,0.02298,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
77,51465.5,1.19928,0.6872,0.01851,0.85153,0.86515,0.90948,0.72483,0.76555,0.46851,0.0229,0.0187425,0.00624751,0.0187425,0.00624751,0.0187425,0.00624751,0.0187425,0.00624751
78,52134.3,1.19662,0.68702,0.01874,0.85837,0.86934,0.91317,0.72452,0.76608,0.45022,0.02296,0.0184905,0.00616351,0.0184905,0.00616351,0.0184905,0.00616351,0.0184905,0.00616351
79,52802,1.18453,0.68628,0.0185,0.86312,0.87019,0.91412,0.72867,0.766,0.45874,0.02286,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
80,53467.1,1.19234,0.68903,0.01838,0.87455,0.8534,0.91093,0.72942,0.74916,0.47055,0.02221,0.0179835,0.0059945,0.0179835,0.0059945,0.0179835,0.0059945,0.0179835,0.0059945
81,54135,1.18357,0.67171,0.01829,0.88169,0.84105,0.90912,0.72605,0.74776,0.47237,0.02219,0.0177287,0.00590956,0.0177287,0.00590956,0.0177287,0.00590956,0.0177287,0.00590956
82,54799.2,1.17877,0.67891,0.01842,0.92801,0.81312,0.91289,0.73226,0.74697,0.46143,0.02201,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
83,55467.8,1.17212,0.67437,0.01816,0.88745,0.8489,0.91298,0.73383,0.73946,0.46195,0.02189,0.0172167,0.00573891,0.0172167,0.00573891,0.0172167,0.00573891,0.0172167,0.00573891
84,56134,1.16868,0.66289,0.01808,0.89194,0.84682,0.91448,0.73731,0.73569,0.46607,0.02174,0.0169598,0.00565325,0.0169598,0.00565325,0.0169598,0.00565325,0.0169598,0.00565325
85,56801.8,1.17264,0.66374,0.01826,0.87172,0.86979,0.91995,0.74197,0.73368,0.44447,0.02173,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
86,57468.9,1.17371,0.65908,0.01817,0.90885,0.84448,0.92283,0.7429,0.73952,0.4421,0.02197,0.0164443,0.00548142,0.0164443,0.00548142,0.0164443,0.00548142,0.0164443,0.00548142
87,58137.7,1.16849,0.65668,0.01802,0.92542,0.82772,0.92142,0.74232,0.73139,0.44755,0.02167,0.0161859,0.00539529,0.0161859,0.00539529,0.0161859,0.00539529,0.0161859,0.00539529
88,58804.6,1.1668,0.67053,0.01827,0.92993,0.8203,0.92145,0.74318,0.7345,0.461,0.0218,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
89,59471.7,1.15808,0.65442,0.01784,0.92986,0.82899,0.92276,0.74378,0.73484,0.44531,0.02173,0.0156683,0.00522275,0.0156683,0.00522275,0.0156683,0.00522275,0.0156683,0.00522275
90,60138.9,1.15926,0.65119,0.01771,0.87723,0.87248,0.92291,0.74321,0.73326,0.45354,0.02164,0.0154092,0.00513639,0.0154092,0.00513639,0.0154092,0.00513639,0.0154092,0.00513639
91,60804.4,1.15222,0.65043,0.01782,0.91105,0.85304,0.92354,0.74331,0.73021,0.44681,0.02151,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
92,61472.9,1.14757,0.63701,0.0178,0.90582,0.85494,0.92423,0.74278,0.73516,0.44222,0.02172,0.0148908,0.00496361,0.0148908,0.00496361,0.0148908,0.00496361,0.0148908,0.00496361
93,62139.5,1.14963,0.64192,0.01762,0.89988,0.857,0.92281,0.74048,0.73646,0.44713,0.02184,0.0146317,0.00487725,0.0146317,0.00487725,0.0146317,0.00487725,0.0146317,0.00487725
94,62796.6,1.14225,0.65024,0.01746,0.90723,0.85771,0.92337,0.74455,0.73095,0.43204,0.02164,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
95,63446.2,1.14273,0.64314,0.01759,0.91025,0.85261,0.91814,0.74323,0.7224,0.43085,0.02135,0.0141141,0.00470471,0.0141141,0.00470471,0.0141141,0.00470471,0.0141141,0.00470471
96,64093.2,1.12278,0.63383,0.01739,0.909,0.84575,0.92111,0.74611,0.71712,0.43346,0.02123,0.0138557,0.00461858,0.0138557,0.00461858,0.0138557,0.00461858,0.0138557,0.00461858
97,64743.1,1.12624,0.63366,0.01718,0.90488,0.85134,0.9199,0.74525,0.71483,0.42691,0.02106,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
98,65395.4,1.13385,0.6296,0.01736,0.91494,0.84516,0.92096,0.7444,0.71528,0.43179,0.02113,0.0133402,0.00444675,0.0133402,0.00444675,0.0133402,0.00444675,0.0133402,0.00444675
99,66046.4,1.12178,0.62178,0.01721,0.91188,0.84947,0.92274,0.74675,0.71108,0.42533,0.02095,0.0130833,0.00436109,0.0130833,0.00436109,0.0130833,0.00436109,0.0130833,0.00436109
100,66700.2,1.12082,0.62136,0.01709,0.91419,0.85434,0.9227,0.74857,0.71208,0.41383,0.02095,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
101,67359.8,1.12395,0.60846,0.01704,0.91218,0.85347,0.9209,0.74773,0.71101,0.42231,0.02093,0.0125713,0.00419044,0.0125713,0.00419044,0.0125713,0.00419044,0.0125713,0.00419044
102,68019.7,1.11277,0.61259,0.01711,0.91473,0.85182,0.92271,0.7487,0.71165,0.42483,0.02099,0.0123165,0.0041055,0.0123165,0.0041055,0.0123165,0.0041055,0.0123165,0.0041055
103,68680.4,1.11981,0.59897,0.01704,0.92097,0.84689,0.92255,0.74722,0.71132,0.41896,0.02096,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
104,69342.2,1.10017,0.61096,0.01669,0.91577,0.84879,0.92129,0.74606,0.7094,0.41213,0.0209,0.0118095,0.00393649,0.0118095,0.00393649,0.0118095,0.00393649,0.0118095,0.00393649
105,70005.7,1.1145,0.61502,0.01699,0.90831,0.85094,0.92194,0.74879,0.7047,0.41585,0.02073,0.0115575,0.00385249,0.0115575,0.00385249,0.0115575,0.00385249,0.0115575,0.00385249
106,70669.6,1.10598,0.60797,0.01678,0.90849,0.84752,0.92247,0.74708,0.70326,0.41815,0.02067,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
107,71333.3,1.10784,0.61302,0.01699,0.90878,0.84973,0.92164,0.74601,0.7019,0.41784,0.02062,0.0110568,0.0036856,0.0110568,0.0036856,0.0110568,0.0036856,0.0110568,0.0036856
108,71998.4,1.0964,0.59596,0.0167,0.91218,0.84879,0.92114,0.74569,0.70119,0.41417,0.02059,0.0108083,0.00360276,0.0108083,0.00360276,0.0108083,0.00360276,0.0108083,0.00360276
109,72666,1.08526,0.59584,0.01652,0.90733,0.84577,0.92179,0.74794,0.70189,0.41766,0.02059,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
110,73333.9,1.08188,0.5871,0.01652,0.91996,0.84891,0.92273,0.74722,0.69865,0.41313,0.02048,0.0103153,0.00343844,0.0103153,0.00343844,0.0103153,0.00343844,0.0103153,0.00343844
111,74000.9,1.08685,0.57375,0.01671,0.90983,0.84571,0.92162,0.74483,0.69775,0.41916,0.02043,0.010071,0.003357,0.010071,0.003357,0.010071,0.003357,0.010071,0.003357
112,74667.2,1.08827,0.58496,0.0164,0.91055,0.85083,0.92155,0.74769,0.69713,0.41228,0.0204,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608
113,75333.4,1.09139,0.58795,0.01644,0.91629,0.8447,0.92175,0.74806,0.69591,0.4185,0.02035,0.00958709,0.0031957,0.00958709,0.0031957,0.00958709,0.0031957,0.00958709,0.0031957
114,76003.6,1.07397,0.57236,0.01621,0.92398,0.84469,0.92152,0.74952,0.69368,0.41406,0.02026,0.00934764,0.00311588,0.00934764,0.00311588,0.00934764,0.00311588,0.00934764,0.00311588
115,76670,1.07156,0.57269,0.01628,0.91908,0.84331,0.92072,0.7491,0.69368,0.40825,0.02025,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
116,77341.6,1.07873,0.57406,0.01645,0.91991,0.84166,0.92114,0.74998,0.69082,0.40807,0.02016,0.00887412,0.00295804,0.00887412,0.00295804,0.00887412,0.00295804,0.00887412,0.00295804
117,78010,1.06074,0.57031,0.01615,0.92725,0.83803,0.92144,0.74955,0.68755,0.41365,0.02007,0.00864019,0.00288006,0.00864019,0.00288006,0.00864019,0.00288006,0.00864019,0.00288006
118,78677.8,1.06531,0.57611,0.01614,0.92147,0.83399,0.91988,0.74766,0.68556,0.42672,0.02,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
119,79348.7,1.05446,0.56018,0.01596,0.91765,0.84105,0.91999,0.74818,0.68619,0.41392,0.02003,0.00817835,0.00272612,0.00817835,0.00272612,0.00817835,0.00272612,0.00817835,0.00272612
120,80019.1,1.05277,0.55759,0.01601,0.92432,0.84105,0.92233,0.75074,0.68659,0.40929,0.02,0.00795058,0.00265019,0.00795058,0.00265019,0.00795058,0.00265019,0.00795058,0.00265019
121,80690.1,1.05023,0.54898,0.01595,0.91816,0.84135,0.92251,0.75025,0.68629,0.41116,0.01997,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
122,81360,1.04669,0.55547,0.01568,0.91802,0.83929,0.92193,0.75053,0.68493,0.41351,0.01992,0.00750168,0.00250056,0.00750168,0.00250056,0.00750168,0.00250056,0.00750168,0.00250056
123,82029.9,1.05557,0.55947,0.0158,0.92183,0.83418,0.92186,0.75033,0.6838,0.40937,0.01988,0.0072807,0.0024269,0.0072807,0.0024269,0.0072807,0.0024269,0.0072807,0.0024269
124,82701.8,1.04651,0.5502,0.01565,0.91677,0.84252,0.92045,0.75004,0.68451,0.41552,0.0199,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404
125,83376,1.03772,0.54606,0.01559,0.92197,0.84199,0.92208,0.75131,0.68385,0.40447,0.01988,0.00684599,0.002282,0.00684599,0.002282,0.00684599,0.002282,0.00684599,0.002282
126,84046.4,1.03701,0.55022,0.01572,0.92164,0.84238,0.92173,0.75068,0.68356,0.40549,0.01989,0.00663239,0.0022108,0.00663239,0.0022108,0.00663239,0.0022108,0.00663239,0.0022108
127,84716.6,1.02795,0.54252,0.01546,0.91938,0.84153,0.9204,0.75069,0.68316,0.40704,0.01988,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
